Unnamed: 0,Name,POS,Age,HT,WT,College,Salary,TeamURL,Team
,Chris Boucher99,PF,32,"6' 9""",200 lbs,Oregon,--,https://www.espn.com/nba/team/roster/_/name/bos/boston-celtics,boston-celtics
,Jalen Bridges41,F,24,"6' 8""",225 lbs,Baylor,--,https://www.espn.com/nba/team/roster/_/name/bos/boston-celtics,boston-celtics
,Jaylen Brown7,SG,28,"6' 6""",223 lbs,California,"$53,142,264",https://www.espn.com/nba/team/roster/_/name/bos/boston-celtics,boston-celtics
,Kendall Brown38,G,22,"6' 7""",205 lbs,Baylor,--,https://www.espn.com/nba/team/roster/_/name/bos/boston-celtics,boston-celtics
,Luka Garza52,C,26,"6' 10""",243 lbs,Iowa,"$2,461,463",https://www.espn.com/nba/team/roster/_/name/bos/boston-celtics,boston-celtics
,Hugo Gonzalez28,G,19,"6' 6""",205 lbs,--,"$2,783,880",https://www.espn.com/nba/team/roster/_/name/bos/boston-celtics,boston-celtics
,Ron Harper Jr.13,G,25,"6' 4""",233 lbs,Rutgers,--,https://www.espn.com/nba/team/roster/_/name/bos/boston-celtics,boston-celtics
,Sam Hauser30,SF,27,"6' 7""",217 lbs,Virginia,"$10,044,643",https://www.espn.com/nba/team/roster/_/name/bos/boston-celtics,boston-celtics
,RJ Luis Jr.12,G,22,"6' 7""",215 lbs,St. John's,--,https://www.espn.com/nba/team/roster/_/name/bos/boston-celtics,boston-celtics
,Josh Minott8,F,22,"6' 8""",205 lbs,Memphis,"$2,378,870",https://www.espn.com/nba/team/roster/_/name/bos/boston-celtics,boston-celtics
,Wendell Moore Jr.20,G,24,"6' 5""",215 lbs,Duke,--,https://www.espn.com/nba/team/roster/_/name/bos/boston-celtics,boston-celtics
,Payton Pritchard11,PG,27,"6' 1""",195 lbs,Oregon,"$7,232,143",https://www.espn.com/nba/team/roster/_/name/bos/boston-celtics,boston-celtics
,Neemias Queta88,C,26,"7' 0""",248 lbs,Utah State,"$2,349,578",https://www.espn.com/nba/team/roster/_/name/bos/boston-celtics,boston-celtics
,Baylor Scheierman55,F,25,"6' 6""",205 lbs,Creighton,"$2,619,000",https://www.espn.com/nba/team/roster/_/name/bos/boston-celtics,boston-celtics
,Max Shulga44,G,23,"6' 5""",210 lbs,VCU,--,https://www.espn.com/nba/team/roster/_/name/bos/boston-celtics,boston-celtics
,Anfernee Simons4,SG,26,"6' 3""",200 lbs,--,"$27,678,571",https://www.espn.com/nba/team/roster/_/name/bos/boston-celtics,boston-celtics
,Jayson Tatum0,SF,27,"6' 8""",210 lbs,Duke,"$54,126,450",https://www.espn.com/nba/team/roster/_/name/bos/boston-celtics,boston-celtics
,Xavier Tillman26,F,26,"6' 7""",245 lbs,Michigan State,"$2,546,675",https://www.espn.com/nba/team/roster/_/name/bos/boston-celtics,boston-celtics
