Unnamed: 0,Name,POS,Age,HT,WT,College,Salary,TeamURL,Team,Division,Conference
,Chris Boucher99,F,32,"6' 8""",200 lbs,Oregon,"$2,296,274",https://www.espn.com/nba/team/roster/_/name/bos/boston-celtics,boston-celtics,Atlantic,Eastern
,Jaylen Brown7,G,29,"6' 6""",223 lbs,California,"$53,142,264",https://www.espn.com/nba/team/roster/_/name/bos/boston-celtics,boston-celtics,Atlantic,Eastern
,Luka Garza52,C,26,"6' 10""",243 lbs,Iowa,"$2,461,463",https://www.espn.com/nba/team/roster/_/name/bos/boston-celtics,boston-celtics,Atlantic,Eastern
,Hugo Gonzalez28,G,19,"6' 6""",200 lbs,--,"$2,783,880",https://www.espn.com/nba/team/roster/_/name/bos/boston-celtics,boston-celtics,Atlantic,Eastern
,Ron Harper Jr.13,G,25,"6' 5""",233 lbs,Rutgers,--,https://www.espn.com/nba/team/roster/_/name/bos/boston-celtics,boston-celtics,Atlantic,Eastern
,Sam Hauser30,F,27,"6' 7""",217 lbs,Virginia,"$10,044,643",https://www.espn.com/nba/team/roster/_/name/bos/boston-celtics,boston-celtics,Atlantic,Eastern
,Josh Minott8,F,22,"6' 8""",205 lbs,Memphis,"$2,378,870",https://www.espn.com/nba/team/roster/_/name/bos/boston-celtics,boston-celtics,Atlantic,Eastern
,Payton Pritchard11,G,27,"6' 1""",195 lbs,Oregon,"$7,232,143",https://www.espn.com/nba/team/roster/_/name/bos/boston-celtics,boston-celtics,Atlantic,Eastern
,Neemias Queta88,C,26,"7' 0""",248 lbs,Utah State,"$2,349,578",https://www.espn.com/nba/team/roster/_/name/bos/boston-celtics,boston-celtics,Atlantic,Eastern
,Baylor Scheierman55,G,25,"6' 6""",205 lbs,Creighton,"$2,619,000",https://www.espn.com/nba/team/roster/_/name/bos/boston-celtics,boston-celtics,Atlantic,Eastern
,Max Shulga44,G,23,"6' 4""",210 lbs,VCU,--,https://www.espn.com/nba/team/roster/_/name/bos/boston-celtics,boston-celtics,Atlantic,Eastern
,Anfernee Simons4,G,26,"6' 3""",200 lbs,--,"$27,678,571",https://www.espn.com/nba/team/roster/_/name/bos/boston-celtics,boston-celtics,Atlantic,Eastern
,Jayson Tatum0,F,27,"6' 8""",210 lbs,Duke,"$54,126,450",https://www.espn.com/nba/team/roster/_/name/bos/boston-celtics,boston-celtics,Atlantic,Eastern
,Xavier Tillman26,F,26,"6' 8""",245 lbs,Michigan State,"$2,546,675",https://www.espn.com/nba/team/roster/_/name/bos/boston-celtics,boston-celtics,Atlantic,Eastern
,Jordan Walsh27,G,21,"6' 6""",205 lbs,Arkansas,"$2,221,677",https://www.espn.com/nba/team/roster/_/name/bos/boston-celtics,boston-celtics,Atlantic,Eastern
,Derrick White9,G,31,"6' 4""",190 lbs,Colorado,"$28,100,001",https://www.espn.com/nba/team/roster/_/name/bos/boston-celtics,boston-celtics,Atlantic,Eastern
,Amari Williams77,F,23,"6' 11""",250 lbs,Kentucky,--,https://www.espn.com/nba/team/roster/_/name/bos/boston-celtics,boston-celtics,Atlantic,Eastern
,Nic Claxton33,C,26,"6' 11""",215 lbs,Georgia,"$25,352,272",https://www.espn.com/nba/team/roster/_/name/bkn/brooklyn-nets,brooklyn-nets,Atlantic,Eastern
,Noah Clowney21,F,21,"6' 10""",210 lbs,Alabama,"$3,398,640",https://www.espn.com/nba/team/roster/_/name/bkn/brooklyn-nets,brooklyn-nets,Atlantic,Eastern
,Egor Demin8,G,19,"6' 8""",200 lbs,BYU,"$6,889,200",https://www.espn.com/nba/team/roster/_/name/bkn/brooklyn-nets,brooklyn-nets,Atlantic,Eastern
,Tyson Etienne10,G,26,"6' 0""",200 lbs,Wichita State,--,https://www.espn.com/nba/team/roster/_/name/bkn/brooklyn-nets,brooklyn-nets,Atlantic,Eastern
,Haywood Highsmith7,F,28,"6' 5""",220 lbs,Wheeling Jesuit,"$5,616,000",https://www.espn.com/nba/team/roster/_/name/bkn/brooklyn-nets,brooklyn-nets,Atlantic,Eastern
,E.J. Liddell9,F,24,"6' 6""",240 lbs,Ohio State,--,https://www.espn.com/nba/team/roster/_/name/bkn/brooklyn-nets,brooklyn-nets,Atlantic,Eastern
,Terance Mann14,G,29,"6' 6""",215 lbs,Florida State,"$15,500,000",https://www.espn.com/nba/team/roster/_/name/bkn/brooklyn-nets,brooklyn-nets,Atlantic,Eastern
,Tyrese Martin13,G,26,"6' 6""",215 lbs,UConn,"$2,191,897",https://www.espn.com/nba/team/roster/_/name/bkn/brooklyn-nets,brooklyn-nets,Atlantic,Eastern
,Michael Porter Jr.17,F,27,"6' 10""",218 lbs,Missouri,"$38,333,050",https://www.espn.com/nba/team/roster/_/name/bkn/brooklyn-nets,brooklyn-nets,Atlantic,Eastern
,Drake Powell4,G,20,"6' 5""",195 lbs,North Carolina,"$3,372,240",https://www.espn.com/nba/team/roster/_/name/bkn/brooklyn-nets,brooklyn-nets,Atlantic,Eastern
,Ben Saraf77,G,19,"6' 6""",200 lbs,--,"$2,884,560",https://www.espn.com/nba/team/roster/_/name/bkn/brooklyn-nets,brooklyn-nets,Atlantic,Eastern
,Day'Ron Sharpe20,C,23,"6' 10""",265 lbs,North Carolina,"$6,250,000",https://www.espn.com/nba/team/roster/_/name/bkn/brooklyn-nets,brooklyn-nets,Atlantic,Eastern
,Cam Thomas24,G,24,"6' 3""",210 lbs,LSU,"$5,993,172",https://www.espn.com/nba/team/roster/_/name/bkn/brooklyn-nets,brooklyn-nets,Atlantic,Eastern
,Nolan Traore88,G,19,"6' 3""",185 lbs,--,"$3,811,560",https://www.espn.com/nba/team/roster/_/name/bkn/brooklyn-nets,brooklyn-nets,Atlantic,Eastern
,Ziaire Williams1,F,24,"6' 9""",185 lbs,Stanford,"$6,250,000",https://www.espn.com/nba/team/roster/_/name/bkn/brooklyn-nets,brooklyn-nets,Atlantic,Eastern
